Aboriginal and Torres Strait Islander Studies;55 65 78 88 97;21.91 32.49 49.26 62.48 73.02
Accounting;62 74 86 93 99;62.95 77.94 88.02 91.84 94.20
Aerospace Systems;57 72 81 87 95;50.87 73.57 83.44 88.21 92.69
Agricultural Science;70 77 84 88 94;43.21 57.75 71.06 77.43 85.00
Ancient History;62 74 85 92 98;48.72 66.79 80.00 86.10 90.01
Biology;73 81 89 94 98;59.25 75.25 86.40 90.97 93.58
Business;60 70 80 88 97;49.20 62.70 74.48 81.94 88.17
Chemistry;76 85 92 96 99;77.08 90.36 95.41 97.04 97.88
Chinese;85 91 96 98 100;79.34 83.98 87.17 88.29 89.32
Dance;72 82 91 97 100;42.54 56.35 68.04 74.82 77.83
Design;60 72 84 91 99;49.76 63.28 74.98 80.54 85.68
Digital Solutions;65 78 89 94 98;61.47 80.34 90.06 92.86 94.56
Drama;68 80 89 96 100;45.56 63.83 75.54 82.68 85.96
Earth and Environmental Science;73 80 87 92 96;49.02 65.37 78.74 85.71 89.81
Economics;67 79 88 94 98;72.53 88.08 94.11 96.39 97.41
Engineering;62 75 86 92 97;71.04 86.87 93.87 96.03 97.25
English;61 72 83 91 99;52.67 70.12 83.18 89.48 93.60
English and Literature Extension;80 90 96 99 100;82.40 90.57 93.66 94.82 95.16
English as an Additional Language;62 72 81 90 98;56.54 73.29 84.30 91.31 95.02
Film Television and New Media;64 75 86 93 100;41.55 56.15 69.76 77.04 82.99
Food and Nutrition;58 70 82 90 97;43.08 58.12 71.78 79.21 84.44
French;77 86 93 97 100;88.51 94.98 97.44 98.27 98.71
French Extension;82 86 95 97 100;87.62 90.68 95.23 95.90 96.74
General Mathematics;60 69 79 86 94;48.99 59.54 70.28 76.72 82.81
Geography;60 72 83 91 98;54.32 71.88 83.75 89.57 93.06
German;72 83 91 95 100;80.05 91.49 95.66 96.92 98.01
German Extension;64 81 94 98 100;68.53 85.70 92.85 94.28 94.89
Health;59 70 81 89 98;46.64 59.87 71.81 78.98 85.34
Italian;75 85 92 97 100;79.13 88.85 93.06 95.11 96.05
Japanese;70 83 92 96 100;73.17 86.36 91.90 93.64 95.02
Legal Studies;59 69 81 89 96;55.19 68.57 81.24 87.25 91.08
Literature;72 83 91 96 100;71.32 85.99 92.22 94.70 96.13
Marine Science;68 76 84 90 95;46.92 61.41 74.12 81.66 86.54
Mathematical Methods;64 76 86 93 98;79.43 89.64 94.43 96.44 97.43
Modern History;64 76 87 94 99;52.84 71.82 84.40 89.73 92.48
Music;70 83 93 98 100;52.97 71.69 82.53 86.58 87.96
Music Extension (Composition);85 94 99 100 100;68.03 79.18 84.00 84.85 84.85
Music Extension (Performance);86 93 98 100 100;66.75 76.40 81.99 83.92 83.92
Philosophy and Reason;67 79 88 94 99;69.25 84.53 91.39 94.30 95.99
Physical Education;63 74 84 91 98;47.31 61.57 73.06 79.68 85.00
Physics;78 86 93 96 100;77.17 89.79 95.31 96.67 97.91
Psychology;72 80 87 92 97;54.79 69.27 79.51 85.11 89.39
Spanish;71 79 86 91 97;72.80 83.94 90.37 93.44 95.92
Specialist Mathematics;70 82 90 95 99;88.94 95.27 97.38 98.20 98.67
Study of Religion;69 79 88 94 99;65.98 79.44 87.78 91.57 93.87
Visual Art;60 73 85 94 100;46.99 61.94 74.03 81.28 85.18
Chinese (Senior External Examination);71 83 89 93 98;74.37 83.91 87.49 89.48 91.57
Korean;81 90 95 99 100;82.55 88.02 90.36 91.94 92.29
Vietnamese;70 78 86 92 98;73.42 80.33 85.80 89.01 91.57
