Aboriginal and Torres Strait Islander Studies; 50.00 71.00 80.00 89.00 93.48; 11.52 43.81 62.67 78.20 84.11
Accounting; 59.00 72.00 84.00 91.00 98.00; 61.50 78.21 88.34 92.14 94.77
Aerospace Systems; 56.00 69.00 79.00 86.00 90.00; 55.71 71.43 80.93 86.00 88.36
Agricultural Science; 67.00 74.00 81.75 87.70 93.00; 42.06 56.22 70.72 79.68 85.80
Ancient History; 60.00 71.00 82.00 90.00 98.00; 51.56 67.66 80.43 87.05 91.66
Arabic; 48.25 59.50 68.00 75.30 79.46; 51.55 64.94 73.72 80.16 83.18
Biology; 71.00 80.00 88.00 93.00 98.00; 60.18 77.17 87.36 91.53 94.41
Business; 57.00 67.00 78.00 86.00 96.00; 50.32 64.03 76.80 83.87 90.13
Chemistry; 76.00 84.00 91.00 96.00 99.00; 77.24 89.31 94.84 97.00 97.84
Chinese; 77.00 88.00 94.00 97.00 100.00; 75.84 84.45 88.11 89.64 91.00
Dance; 71.00 82.00 90.00 96.00 100.00; 40.94 57.58 68.88 76.16 80.31
Design; 55.00 67.00 79.00 89.00 97.00; 47.36 61.18 73.40 81.49 86.48
Digital Solutions; 61.00 74.00 86.00 93.00 98.00; 62.42 80.21 90.23 93.72 95.46
Drama; 66.00 78.00 88.00 94.00 100.00; 47.02 65.17 77.69 83.49 88.01
Earth and Environmental Science; 71.00 78.00 84.00 88.00 93.00; 50.99 66.46 77.48 83.25 88.73
Economics; 64.75 75.00 86.00 92.00 98.00; 70.62 84.78 93.22 95.74 97.36
Engineering; 59.00 71.00 83.00 90.00 97.00; 67.03 83.32 92.46 95.40 97.22
English; 58.00 68.00 80.00 89.00 98.00; 53.81 69.80 84.02 90.68 94.75
English and Literature Extension; 79.00 88.00 94.00 98.00 100.00; 86.11 92.07 94.63 95.88 96.40
English as an Additional Language; 56.00 67.00 76.00 86.00 97.00;52.36 67.79 78.17 86.60 92.52
Film Television and New Media; 61.00 73.00 85.00 93.00 99.00; 42.17 57.65 71.76 79.39 84.03
Food and Nutrition; 54.00 64.00 76.00 85.00 94.00; 44.31 57.66 69.98 78.35 84.89
French; 74.00 83.00 90.00 95.00 99.00; 88.07 94.86 97.42 98.43 98.95
General Mathematics; 58.00 67.00 76.00 84.00 94.00; 50.09 61.00 70.91 78.34 85.55
Geography; 56.00 67.00 79.00 87.00 96.00; 51.39 68.72 82.99 89.25 94.16
German; 72.00 83.00 91.00 95.00 98.08; 79.64 92.99 97.21 98.05 98.66
Health; 55.00 65.00 76.00 84.00 95.98; 44.61 58.16 71.70 79.67 88.29
Italian; 69.75 81.00 90.00 95.00 98.00; 77.71 87.01 91.86 93.78 94.81
Japanese; 67.00 79.00 89.00 95.00 99.00; 74.30 85.94 91.93 94.31 95.51
Korean; 82.00 87.00 93.00 97.40 99.00; 85.22 88.13 90.95 92.62 93.15
Legal Studies; 56.00 66.00 79.00 88.00 96.00; 54.01 67.86 81.90 88.46 92.46
Literature; 69.00 80.00 89.00 95.00 100.00; 71.77 85.80 92.47 95.17 96.69
Marine Science; 63.00 71.00 79.00 85.00 93.00; 45.10 59.53 72.48 80.30 87.95
Mathematical Methods; 64.00 76.00 86.00 93.00 99.00; 79.24 89.96 94.80 96.78 97.87
Modern History;63.00 75.00 86.00 93.00 99.00;56.95 75.05 86.46 91.16 93.96
Music; 69.00 82.00 93.00 98.00 100.00; 54.79 73.28 84.55 88.22 90.38
Music Extension (Composition); 80.00 91.00 96.00 100.00 100.00; 65.99 80.99 85.90 89.02 89.02
Music Extension (Performance); 82.00 91.00 97.00 99.00 100.00; 65.79 78.95 85.40 87.16 87.96
Philosophy and Reason; 62.00 74.00 84.00 91.70 98.00; 67.02 82.29 90.25 94.03 96.05
Physical Education; 59.00 70.00 80.00 88.00 96.00; 46.28 61.17 73.17 80.88 86.77
Physics; 74.00 84.00 92.00 97.00 99.00; 74.32 89.57 95.35 97.25 97.77
Psychology; 70.00 79.00 87.00 92.00 97.00; 55.76 71.24 81.87 86.80 90.54
Spanish; 69.00 77.00 86.00 90.00 96.02; 77.80 88.10 92.59 95.47 97.58
Specialist Mathematics; 71.00 81.00 89.00 95.00 99.00; 89.63 95.31 97.58 98.54 98.96
Study of Religion; 65.00 75.00 85.00 92.00 98.00; 66.09 80.07 89.22 93.21 95.49
Vietnamese; 68.00 78.00 83.00 88.20 92.00; 73.98 82.50 85.85 88.75 90.53
Visual Art; 57.00 70.00 83.00 92.00 99.00; 47.99 63.20 76.17 83.09 87.29
